# Label,Order,Size,Colour,x,y,Level 0,Level 1,Level 2
E1  2QJ,,1,,535106,180937,E,  E1  ,   E1  2   
E1  2QL,,1,,535027,180937,E,  E1  ,   E1  2   
E1  2QN,,1,,534891,180939,E,  E1  ,   E1  2   
E1  2QP,,1,,534669,180932,E,  E1  ,   E1  2   
E1  2QQ,,1,,535081,180967,E,  E1  ,   E1  2   
E1  2QR,,1,,535007,181203,E,  E1  ,   E1  2   
E1  2QS,,1,,535007,181203,E,  E1  ,   E1  2   
E1  2QT,,1,,535065,181140,E,  E1  ,   E1  2   
E1  2QW,,1,,534806,180938,E,  E1  ,   E1  2   
E1  2QX,,1,,534955,181200,E,  E1  ,   E1  2   
E1  2QY,,1,,534922,181208,E,  E1  ,   E1  2   
E1  2QZ,,1,,534854,181217,E,  E1  ,   E1  2   
E1  2RA,,1,,534684,181478,E,  E1  ,   E1  2   
E1  2RB,,1,,534707,181458,E,  E1  ,   E1  2   
E1  2RD,,1,,534723,181461,E,  E1  ,   E1  2   
E1  2RU,,1,,534833,181799,E,  E1  ,   E1  2   
E1  3AA,,1,,535069,181805,E,  E1  ,   E1  3   
E1  3AB,,1,,535034,181826,E,  E1  ,   E1  3   
E1  3AD,,1,,535169,181850,E,  E1  ,   E1  3   
E1  3AE,,1,,535131,181838,E,  E1  ,   E1  3   
E1  3AG,,1,,535459,181806,E,  E1  ,   E1  3   
E1  3AH,,1,,535361,181857,E,  E1  ,   E1  3   
E1  3AL,,1,,535158,181767,E,  E1  ,   E1  3   
E1  3AP,,1,,535133,181891,E,  E1  ,   E1  3   
E1  3AQ,,1,,535361,181823,E,  E1  ,   E1  3   
E1  3AR,,1,,535163,181934,E,  E1  ,   E1  3   
E1  3AS,,1,,535163,181876,E,  E1  ,   E1  3   
E1  3AT,,1,,535176,181802,E,  E1  ,   E1  3   
